species,date_collected,location,donating_institution,storage_type,extraction_method,RNA_concentration,260_280,260_230,galbut_virus_positive_qPCR,sample_id,I7_index,I5_index,control_type
melanogaster,1896,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,4,2.32,2.11,N,1004284,IDT8_i7_240,IDT8_i5_240,Sample
melanogaster,1902,"Albany, NY",New York State Museum,Dried,Destructive,152,2.1,2,N,Albany1902_1,IDT8_i7_212,IDT8_i5_212,Sample
melanogaster,1908,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,54.6,2.08,1.81,N,1004277,IDT8_i7_233,IDT8_i5_233,Sample
melanogaster,1915,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,84,1.95,2.46,N,1004279,IDT8_i7_235,IDT8_i5_235,Sample
melanogaster,1915,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,6.8,1.99,2.27,N,1004280,IDT8_i7_236,IDT8_i5_236,Sample
melanogaster,1915,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,12.7,1.97,2.01,N,1004281,IDT8_i7_237,IDT8_i5_237,Sample
melanogaster,1915,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,16.9,2.08,2.32,N,1004282,IDT8_i7_238,IDT8_i5_238,Sample
melanogaster,1919,"St. Paul, MN","University of Minnesota, Insect Collection",Dried,Destructive,0,1.51,0.43,?,StPaul1919_1,IDT8_i7_231,IDT8_i5_231,Sample
melanogaster,1919,"St. Paul, MN","University of Minnesota, Insect Collection",Dried,Destructive,21.6,1.84,1.77,N,StPaul1919_2,IDT8_i7_208,IDT8_i5_208,Sample
melanogaster,1919,"St. Paul, MN","University of Minnesota, Insect Collection",Dried,Destructive,18.9,1.83,1.12,Y,StPaul1919_3,IDT8_i7_193,IDT8_i5_193,Sample
melanogaster,1927,"Albany, NY",New York State Museum,Dried,Destructive,21,1.92,2.02,N,Albany1927,IDT8_i7_213,IDT8_i5_213,Sample
melanogaster,1930,Illinois,Illinois Natural Histroy Survey,Dried,Non-Destructive,13.6,2.08,1.75,Y,1004283,IDT8_i7_239,IDT8_i5_239,Sample
melanogaster,1942,New Jersey,Illinois Natural Histroy Survey,Dried,Non-Destructive,10.2,1.9,1.41,N,1004278,IDT8_i7_234,IDT8_i5_234,Sample
melanogaster,1950,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.95,2.19,N,Oahu1950_1_mel,NA,NA,Sample
melanogaster,1950,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.24,0.24,N,Oahu1950_2_mel,NA,NA,Sample
melanogaster,1951,"Honolulu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.38,0.65,N,Honolulu1951_1_mel,NA,NA,Sample
melanogaster,1951,"Oahu, HI",University of Hawaii Insect Museum,Dried,Destructive,0,1.49,1.3,N,Oahu1951_1_mel,NA,NA,Sample
melanogaster,1952,"Kauai, HI",University of Hawaii Insect Museum,Dried,Destructive,0,0.95,0.64,N,Kauai1952_1_mel,NA,NA,Sample
